Healthy life expectancy at birth,Social support,Selected,Country name,Cluster,Silhouette
continuous,continuous,No Yes,string,C1 C2 C3 C4 C5,continuous
,,class,meta,meta,meta
0.449872883,0.287963785,No,Afghanistan,C4,0.6386561204964774
0.79836594,0.586143509,No,Albania,C1,0.6262584294939012
0.740803489,0.733753011,No,Algeria,C1,0.6443202194272261
0.805491728,0.878834939,No,Argentina,C5,0.6174956392230818
0.760043412,0.652325262,No,Armenia,C1,0.6462444134736096
0.912152048,0.937024594,No,Australia,C3,0.6927302396984674
0.897780987,0.916825135,No,Austria,C3,0.6941151460267349
0.725974265,0.72864372,No,Azerbaijan,C1,0.6430641266101856
0.801096376,0.838751998,No,Bahrain,C5,0.6371025213305069
0.691504727,0.507131085,No,Bangladesh,C4,0.5562139297216345
0.731526638,0.889246324,No,Belarus,C5,0.6791685250180247
0.878178178,0.896467208,No,Belgium,C3,0.6679517937047534
0.473911502,0.270245239,No,Benin,C4,0.6443400757307963
0.682086397,0.738484618,No,Bolivia,C1,0.610293346173721
0.783923319,0.740074586,No,Bosnia and Herzegovina,C1,0.6341712753115045
0.551227925,0.740217208,No,Botswana,C2,0.6033659288652754
0.749664522,0.86182598,No,Brazil,C5,0.6781788615919605
0.762522978,0.878141199,No,Bulgaria,C5,0.6792371464796654
0.453198611,0.611789004,No,Burkina Faso,C2,0.6614935328254664
0.63322282,0.632828347,No,Cambodia,C2,0.5408410784145142
0.425722164,0.602444642,No,Cameroon,C2,0.649501834213111
0.912943146,0.91903313,No,Canada,C3,0.6959166857596979
0.332225414,0.528571881,No,Chad,C2,0.5649105906026464
0.833475578,0.821046738,No,Chile,C5,0.5535756003079804
0.814631696,0.719711376,No,China,C1,0.6279858937652123
0.777707458,0.840158046,No,Colombia,C5,0.6542279710258833
0.543042635,0.490440824,No,Congo (Brazzaville),C4,0.556008051901425
0.440437894,0.627667554,No,Congo (Kinshasa),C2,0.6661328648033058
0.860532103,0.874624958,No,Costa Rica,C3,0.6034697923319156
0.829100578,0.786949586,No,Croatia,C1,0.5043647628515762
0.915419512,0.727761579,No,Cyprus,C1,0.5186871894534437
0.832807904,0.910620211,No,Czech Republic,C3,0.5386657391690434
0.882510504,0.954878719,No,Denmark,C3,0.6705466504504316
0.73477416,0.830924611,No,Dominican Republic,C5,0.6328697094722502
0.796792936,0.76784356,No,Ecuador,C1,0.5800951333879976
0.645405725,0.621091109,No,Egypt,C2,0.5168313446396317
0.741815257,0.698360379,No,El Salvador,C1,0.6534642210645458
0.79792542,0.911622084,No,Estonia,C5,0.5989489413709863
0.562680541,0.603131339,No,Ethiopia,C2,0.644405686798914
0.87541032,0.947483519,No,Finland,C3,0.667099706266385
0.916425945,0.910866717,No,France,C3,0.694501487991018
0.583542378,0.668563007,No,Gabon,C2,0.6186030054037194
0.722147453,0.445824882,No,Georgia,C4,0.5980206221118871
0.881440389,0.895632606,No,Germany,C3,0.6718188794810058
0.536153493,0.578304598,No,Ghana,C2,0.6252393079364877
0.888474921,0.743846138,No,Greece,C1,0.5372479749840943
0.707632451,0.753523284,No,Guatemala,C1,0.6050400764972778
0.458908548,0.477159398,No,Guinea,C4,0.5281521882234875
0.420529149,0.419121169,No,Haiti,C4,0.5810905902017608
0.767553506,0.735331094,No,Honduras,C1,0.644358620683756
0.99375,0.781899721,No,Hong Kong S.A.R. of China,C3,0.6051043931421682
0.774389443,0.888628296,No,Hungary,C5,0.6641493743281844
0.906112132,0.987111224,No,Iceland,C3,0.6572683072023837
0.603241203,0.444293019,No,India,C4,0.6325148192321101
0.654181329,0.742493873,No,Indonesia,C1,0.5864922042484688
0.738384104,0.533500254,No,Iran,C1,0.5252734625403849
0.612540704,0.638649425,No,Iraq,C2,0.5862108195950924
0.887079832,0.953822262,No,Ireland,C3,0.6751505023054086
0.908145352,0.894597279,No,Israel,C3,0.6880687259005546
0.915798976,0.866389875,No,Italy,C3,0.6679435245716248
0.362280725,0.532528313,No,Ivory Coast,C2,0.5732790921233073
0.946185662,0.869073276,No,Japan,C3,0.6695512346151351
0.757638524,0.740312289,No,Jordan,C1,0.6408523275170352
0.693277311,0.900851504,No,Kazakhstan,C5,0.6581341995189204
0.589197742,0.643847194,No,Kenya,C2,0.6252581071492831
0.703415179,0.724486562,No,Kosovo,C1,0.6347274678908006
0.755137211,0.814152235,No,Kuwait,C5,0.5978578391602386
0.692065389,0.849106237,No,Kyrgyzstan,C5,0.6281362758908682
0.57127451,0.60183894,No,Laos,C2,0.6393436243894979
0.755834756,0.864144904,No,Latvia,C5,0.6809657798836362
0.760905085,0.724803499,No,Lebanon,C1,0.651019288033547
0.496926372,0.600828262,No,Liberia,C2,0.6561717876867953
0.761701681,0.91276834,No,Lithuania,C5,0.6533077499159182
0.894843093,0.898094151,No,Luxembourg,C3,0.6856111382424994
0.575896824,0.58175393,No,Madagascar,C2,0.6122096107109861
0.516729254,0.380572811,No,Malawi,C4,0.6470242330376936
0.764787454,0.760027538,No,Malaysia,C1,0.6096948588869592
0.408904198,0.686015678,No,Mali,C2,0.6643879743522069
0.887408088,0.916740619,No,Malta,C3,0.6877998489069275
0.534731733,0.723519904,No,Mauritania,C2,0.6335975940193427
0.750133929,0.812087982,No,Mauritius,C5,0.589677587963935
0.792248556,0.761282961,No,Mexico,C1,0.598215629012474
0.705732012,0.793473208,No,Moldova,C1,0.4882373297544995
0.65650604,0.917723124,No,Mongolia,C5,0.6343265646010088
0.798727022,0.776274087,No,Montenegro,C1,0.5538260965983642
0.73603729,0.449654539,No,Morocco,C4,0.5820771970489699
0.442240732,0.634078488,No,Mozambique,C2,0.6685485008028871
0.582702862,0.649858435,No,Myanmar,C2,0.6313829648647935
0.660808741,0.700441599,No,Nepal,C1,0.6003972674892667
0.887096245,0.922181373,No,Netherlands,C3,0.6877700905897555
0.904871324,0.949385142,No,New Zealand,C3,0.6862761106795403
0.771228253,0.810492732,No,Nicaragua,C5,0.5840610676756027
0.444857865,0.550287356,No,Niger,C2,0.5992765479084228
0.366618304,0.667062838,No,Nigeria,C2,0.6481484466755241
0.928526786,0.771905637,No,North Cyprus,C3,0.5649227028184758
0.733480666,0.729446628,No,North Macedonia,C1,0.6453576142409132
0.90519958,0.947251099,No,Norway,C3,0.6876227512159826
0.567491383,0.45287145,No,Pakistan,C4,0.6219237456637571
0.665004103,0.731939866,No,Palestinian Territories,C1,0.604370127802332
0.824788603,0.868069642,No,Panama,C5,0.5576408630042435
0.736902574,0.884883156,No,Paraguay,C5,0.6810987593332661
0.785874311,0.747258494,No,Peru,C1,0.6253035272633873
0.653016675,0.765466531,No,Philippines,C1,0.5535342750261528
0.812341124,0.884465855,No,Poland,C5,0.5911034213125558
0.884978992,0.843992985,No,Portugal,C3,0.6150915405591402
0.764891757,0.730392157,No,Romania,C1,0.6481126670297469
0.693268776,0.879775186,No,Russia,C5,0.6532751418298188
0.60619912,0.435957573,No,Rwanda,C4,0.6372239823550778
0.746771271,0.828346856,No,Saudi Arabia,C5,0.6335611214545129
0.585321527,0.645136072,No,Senegal,C2,0.6301172782882075
0.7877823,0.794677569,No,Serbia,C1,0.4759062083993621
0.356666639,0.548729082,No,Sierra Leone,C2,0.5887252923581611
0.978933413,0.860959686,No,Singapore,C3,0.6561762087015997
0.803754596,0.919973377,No,Slovakia,C5,0.5676869918735726
0.853482799,0.922780032,No,Slovenia,C3,0.6282782392454955
0.506181723,0.82983646,No,South Africa,C2,0.5558454498553634
0.907858456,0.721148158,No,South Korea,C1,0.53938399662125
0.929159007,0.925488083,No,Spain,C3,0.6913810577100168
0.770930689,0.770199459,No,Sri Lanka,C1,0.5820386555623206
0.894931723,0.915029158,No,Sweden,C3,0.6926987327102958
0.921984419,0.937355618,No,Switzerland,C3,0.6910213774856453
0.825888754,0.842249831,No,Taiwan Province of China,C5,0.572345675707385
0.697412684,0.727254479,No,Tajikistan,C1,0.6296552611075433
0.53052521,0.645579784,No,Tanzania,C2,0.6725291978790287
0.768105961,0.860811782,No,Thailand,C5,0.6785439635337616
0.476254322,0.272206728,No,Togo,C4,0.645052892392483
0.760966387,0.569160962,No,Tunisia,C1,0.6034428492631386
0.754126838,0.760543442,No,Turkey,C1,0.6077762062907768
0.650211972,0.945101209,No,Turkmenistan,C5,0.6302627705877845
0.49046678,0.726853026,No,Uganda,C2,0.6539272222194066
0.705296744,0.850278905,No,Ukraine,C5,0.6410561921910934
0.771439732,0.808027936,No,United Arab Emirates,C5,0.5745758627185821
0.885517332,0.929629395,No,United Kingdom,C3,0.685157918626577
0.805803571,0.898644213,No,United States,C5,0.5947651789225422
0.813123687,0.888638861,No,Uruguay,C5,0.5830500243680379
0.717796826,0.917908004,No,Uzbekistan,C5,0.6627173883130595
0.757681197,0.860547667,No,Venezuela,C5,0.6790062905610139
0.785000164,0.779291027,No,Vietnam,C1,0.5477221133078899
0.522028788,0.688646256,No,Yemen,C2,0.6623285869738701
0.479310662,0.63570191,No,Zambia,C2,0.6743265148842061
0.468407957,0.697261663,No,Zimbabwe,C2,0.6719571735028471
